year,first_name,middle_name,last_name,affiliation,original specialization,modified specializationmemoriam,email_affiliation,related_aff,umbrella_spec,,full_name
1977,David,C.,Dale,['University of Washington School of Medicine'],"['Hematology', 'Internal Medicine', 'Infectious Disease']","['Hematology', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,david c. dale
1977,Hugo,E.,Jasin,[],[],[],"['ASCI', 'AAP']",[],[],,hugo e. jasin
1977,Jerrold,M.,Olefsky,"['University of California, San Diego, School of Medicine']","['Endocrinology', 'Internal Medicine', 'Metabolism']","['Endocrinology', 'Internal Medicine', 'Metabolism']","['ASCI', 'AAP']",[],[],,jerrold m. olefsky
1977,Suzanne,,Oparil,['University of Alabama at Birmingham School of Medicine'],"['Hypertension', 'Cardiovascular Disease']",['Cardiovascular Disease'],"['ASCI', 'AAP']",[],[],,suzanne oparil
1977,Joost,,Oppenheim,[],[],[],"['ASCI', 'AAP']",[],[],,joost oppenheim
1977,David,Lawrence,Sackett,[],[],[],"['ASCI', 'AAP']",[],[],,david lawrence sackett
1977,Richard,L.,Tannen,[],[],[],"['ASCI', 'AAP']",[],[],,richard l. tannen
1977,Albert,L.,Waldo,['Case Western Reserve University School of Medicine'],"['Physiology', 'Cardiovascular Disease', 'Pharmacology', 'Biomedical Engineering', 'Cardiology', 'Internal Medicine']","['Cardiovascular Disease', 'Cardiology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,albert l. waldo
1977,Douglas,P.,Zipes,['Indiana University School of Medicine'],['Cardiology'],['Cardiology'],"['ASCI', 'AAP']",[],[],,douglas p. zipes
1978,Qais,,Al-Awqati,['Columbia University College of Physicians & Surgeons'],"['Biochemistry', 'Nephrology', 'Physiology', 'Cell Biology']",['Nephrology'],"['ASCI', 'AAP']",[],[],,qais al-awqati
1978,Norman,H.,Edelman,['Renaissance School of Medicine at Stony Brook University'],"['Internal Medicine', 'Pulmonology', 'Physiology']","['Internal Medicine', 'Pulmonology']","['ASCI', 'AAP']",[],[],,norman h. edelman
1978,David,,Feldman,['Stanford University School of Medicine'],"['Oncology', 'Metabolism', 'Endocrinology', 'Internal Medicine', 'Genetics']","['Metabolism', 'Endocrinology', 'Internal Medicine', 'Genetics']","['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,david feldman
1978,John,I.,Gallin,['National Institutes of Health'],"['Immunology', 'Administration', 'Internal Medicine', 'Infectious Disease']","['Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,john i. gallin
1978,Ashley,T.,Haase,['University of Minnesota Medical School'],"['Internal Medicine', 'Immunology', 'Infectious Disease', 'Virology', 'HIV', 'Microbiology']","['Internal Medicine', 'Infectious Disease', 'Microbiology']","['ASCI', 'AAP']",[],[],,ashley t. haase
1978,Ralph,,Lazzara,[],[],[],"['ASCI', 'AAP']",[],[],,ralph lazzara
1978,Adel,A. F.,Mahmoud,[],[],[],"['ASCI', 'AAP']",[],[],,adel a. f. mahmoud
1978,Merle,A.,Sande,[],[],[],"['ASCI', 'AAP']",[],[],,merle a. sande
1978,Richard,J.,Santen,['University of Virginia School of Medicine'],['Endocrinology'],['Endocrinology'],"['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,richard j. santen
1978,Barry,L.,Zaret,['Yale School of Medicine'],"['Nuclear Medicine', 'Cardiovascular Disease', 'Administration', 'Cardiology']","['Nuclear Medicine', 'Cardiovascular Disease', 'Cardiology']","['ASCI', 'AAP']",[],[],,barry l. zaret
1979,Douglas,,Fearon,['University of Cambridge'],"['Rheumatology', 'Immunology']",['Rheumatology'],"['ASCI', 'AAP']",[],[],,douglas fearon
1979,Robert,I.,Handin,"[""Harvard Medical School, Brigham & Women's Hospital""]","['Biochemistry', 'Hematology', 'Genetics', 'Cell Biology']","['Hematology', 'Genetics']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,robert i. handin
1979,Ivor,,Jackson,[],"['Endocrinology', 'Neurobiology']",['Endocrinology'],"['ASCI', 'AAP']",[],[],,ivor jackson
1979,Eric,A.,Jaffe,[],"['Oncology', 'Hematology', 'Internal Medicine']","['Hematology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,eric a. jaffe
1979,Gerald,S.,Lazarus,['Johns Hopkins University School of Medicine'],"['Health services research', 'Wound healing', 'Health care policy', 'Administration', 'Dermatology', 'Public Policy']",['Dermatology'],"['ASCI', 'AAP']",['Johns Hopkins University Affiliates*'],"['Johns Hopkins Bloomberg School of Public Health', 'Johns Hopkins Medical Institutes', 'Johns Hopkins University School of Medicine']",,gerald s. lazarus
1980,Martin,C.,Carey,"[""Harvard Medical School, Brigham & Women's Hospital""]","['Gastroenterology', 'Physiology', 'Metabolism', 'Endocrinology', 'Molecular Biology', 'Biophysics', 'Genetics']","['Gastroenterology', 'Metabolism', 'Endocrinology', 'Genetics']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,martin c. carey
1980,Erwin,W.,Gelfand,['National Jewish Health'],"['Cell Biology', 'Immunology', 'Allergy', 'Molecular Biology', 'Pediatrics']","['Allergy', 'Pediatrics']","['ASCI', 'AAP']",[],[],,erwin w. gelfand
1980,Paul,A.,Insel,"['University of California, San Diego, School of Medicine']","['Drug Development', 'Gene Transfer/Gene Therapy', 'Physiology', 'Endocrinology', 'Hypertension', 'Cell Biology', 'Biochemistry', 'Cardiovascular Disease', 'General Medicine', 'Internal Medicine', 'Pharmacology']","['Endocrinology', 'Cardiovascular Disease', 'General Medicine', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,paul a. insel
1980,Neil,,Kaplowitz,['University of Southern California Keck School of Medicine'],"['Toxicology', 'Cell Biology', 'Pharmacology', 'Gastroenterology', 'Biochemistry', 'Physiology', 'Internal Medicine', 'Hepatology']","['Toxicology', 'Gastroenterology', 'Internal Medicine', 'Hepatology']","['ASCI', 'AAP']",[],[],,neil kaplowitz
1980,Lewis,,Landsberg,['Northwestern University Feinberg School of Medicine'],"['Administration', 'Hypertension', 'Metabolism', 'Endocrinology', 'Internal Medicine']","['Metabolism', 'Endocrinology', 'Internal Medicine']","['ASCI', 'AAP']",['Northwestern University Affiliates*'],"['Northwestern Memorial Hospital', 'Northwestern University Feinberg School of Medicine']",,lewis landsberg
1980,Robert,W.,Mahley,"['Gladstone Institutes', 'University of California, San Francisco, School of Medicine']","['Neurology', 'Molecular Biology', 'Genetics', 'Cell Biology', 'Neurobiology', 'Cardiovascular Disease', 'Administration']","['Neurology', 'Genetics', 'Cardiovascular Disease']","['ASCI', 'AAP']",[],[],,robert w. mahley
1980,Thalia,,Papayannopoulou,['University of Washington School of Medicine'],"['Developmental Biology', 'Cell Biology', 'Hematology']",['Hematology'],"['ASCI', 'AAP']",[],[],,thalia papayannopoulou
1980,Basil,,Rapoport,['Cedars-Sinai Medical Center'],"['Endocrinology', 'Immunology', 'Molecular Biology']",['Endocrinology'],"['ASCI', 'AAP']",[],[],,basil rapoport
1980,Hidehiko,,Saito,['JR Tokai General Hospital'],"['Bone marrow transplantation', 'Internal Medicine', 'Hematology', 'Oncology']","['Bone marrow transplantation', 'Internal Medicine', 'Hematology']","['ASCI', 'AAP']",[],[],,hidehiko saito
1980,Argyrios,N.,Theofilopoulos,['The Scripps Research Institute'],"['Molecular Biology', 'Immunology', 'Rheumatology', 'Genetics', 'Virology']","['Rheumatology', 'Genetics']","['ASCI', 'AAP']",[],[],,argyrios n. theofilopoulos
1980,Peter,D.,Wagner,"['University of California, San Diego, School of Medicine']","['Physiology', 'Biomedical Engineering', 'Molecular Biology', 'Pulmonology']",['Pulmonology'],"['ASCI', 'AAP']",[],[],,peter d. wagner
1981,Robert,,Carey,['University of Virginia School of Medicine'],"['General Medicine', 'Endocrinology', 'Hypertension', 'Administration']","['General Medicine', 'Endocrinology']","['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,robert carey
1981,C.,Garrison,Fathman,['Stanford University School of Medicine'],"['Immunology', 'Gene Transfer/Gene Therapy', 'Cell Biology', 'Molecular Biology', 'Rheumatology']",['Rheumatology'],"['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,c. garrison fathman
1981,Perry,V.,Halushka,['Medical University of South Carolina College of Medicine'],"['Cardiovascular Disease', 'Hypertension', 'Pharmacology']",['Cardiovascular Disease'],"['ASCI', 'AAP']",[],[],,perry v. halushka
1981,Jouni,Jorma,Uitto,['Jefferson Medical College of Thomas Jefferson University'],"['Molecular Biology', 'Genetics', 'Dermatology', 'Biochemistry']","['Genetics', 'Dermatology']","['ASCI', 'AAP']",[],[],,jouni jorma uitto
1981,David,,Valle,[],"['Genetics', 'Pediatrics', 'Bioethics', 'Cell Biology', 'Molecular Biology', 'Biochemistry', 'Metabolism']","['Genetics', 'Pediatrics', 'Metabolism']","['ASCI', 'AAP']",[],[],,david valle
1982,Carol,,Baker,['Baylor College of Medicine'],"['Epidemiology', 'Pediatrics', 'Neonatology', 'Infectious Disease', 'Vaccines']","['Pediatrics', 'Neonatology', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,carol baker
1982,Edwin,C.,Cadman,[],[],[],"['ASCI', 'AAP']",[],[],,edwin c. cadman
1982,George,S.,Eisenbarth,[],[],[],"['ASCI', 'AAP']",[],[],,george s. eisenbarth
1982,Harry,R.,Jacobson,[],"['Nephrology', 'Internal Medicine', 'Administration']","['Nephrology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,harry r. jacobson
1982,Martin,F.,Kagnoff,[],[],[],"['ASCI', 'AAP']",[],[],,martin f. kagnoff
1982,Stuart,H.,Orkin,"[""Harvard Medical School, Boston Children's Hospital""]",['Hematology'],['Hematology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,stuart h. orkin
1982,John,A.,Parrish,"['Harvard Medical School, Massachusetts General Hospital']","['Biophysics', 'Environmental Medicine', 'Biomedical Engineering', 'Dermatology', 'Administration']",['Dermatology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,john a. parrish
1982,Alan,R.,Tall,['Columbia University College of Physicians & Surgeons'],"['Metabolism', 'Molecular Biology']",['Metabolism'],"['ASCI', 'AAP']",[],[],,alan r. tall
1982,Steven,L.,Teitelbaum,['Washington University School of Medicine in St. Louis'],['Pathology'],['Pathology'],"['ASCI', 'AAP']",[],[],,steven l. teitelbaum
1983,Grover,C.,Bagby,['Oregon Health Science University School of Medicine'],"['Hematology', 'Oncology', 'Cell Biology', 'Developmental Biology', 'Genetics', 'Molecular Biology']","['Hematology', 'Genetics']","['ASCI', 'AAP']",['Oregon Health & Science Affiliates*'],"['Oregon Health & Science University', 'Oregon Health Science University School of Medicine']",,grover c. bagby
1983,Raif,S.,Geha,"[""Harvard Medical School, Boston Children's Hospital""]","['Immunology', 'Pediatrics', 'Allergy']","['Pediatrics', 'Allergy']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,raif s. geha
1983,Bevra,H.,Hahn,"['University of California, Los Angeles, David Geffen School of Medicine']","['Immunology', 'Rheumatology', 'Internal Medicine', 'Administration']","['Rheumatology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,bevra h. hahn
1983,Carl,F.,Nathan,['Weill Cornell Medical College'],"['Immunology', 'Metabolism', 'Infectious Disease', 'Hematology', 'Oncology']","['Metabolism', 'Infectious Disease', 'Hematology']","['ASCI', 'AAP']",[],[],,carl f. nathan
1983,Paul,M.,Vanhoutte,[],[],[],"['ASCI', 'AAP']",[],[],,paul m. vanhoutte
1984,Mark,,Feldman,['Presbyterian Hospital of Dallas'],[],[],"['ASCI', 'AAP']",[],[],,mark feldman
1984,James,M.,Hammond,['Pennsylvania State University College of Medicine'],"['Molecular Biology', 'Metabolism', 'Internal Medicine', 'Endocrinology', 'Cell Biology']","['Metabolism', 'Internal Medicine', 'Endocrinology']","['ASCI', 'AAP']",[],[],,james m. hammond
1984,Nicholas,F.,LaRusso,['Mayo Clinic'],"['Cell Biology', 'Hepatology', 'Gastroenterology', 'Internal Medicine', 'Molecular Biology', 'Biochemistry']","['Hepatology', 'Gastroenterology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,nicholas f. larusso
1984,Edward,G.,Lakatta,"['NIH, National Institute on Aging (NIA)']","['Cardiovascular Disease', 'Cell Biology', 'Biochemistry', 'Cardiology', 'Biophysics', 'Internal Medicine', 'Physiology']","['Cardiovascular Disease', 'Cardiology', 'Internal Medicine']","['ASCI', 'AAP']",['NIH Affiliates*'],"['NIH, Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)', 'NIH, National Cancer Institute (NCI)', 'NIH, National Center for Complementary and Integrative Health (NCCIH)', 'NIH, National Eye Institute (NEI)', 'NIH, National Heart, Lung, and Blood Institute (NHLBI)', 'NIH, National Human Genome Research Institute (NHGRI)', 'NIH, National Institute of Allergy and Infectious Diseases (NIAID)', 'NIH, National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)', 'NIH, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)', 'NIH, National Institute of Minority Health and Health Disparities', 'NIH, National Institute of Neurological Disorders and Stroke (NINDS)', 'NIH, National Institute on Aging (NIA)', 'NIH, National Institute on Alcohol Abuse and Alcoholism (NIAAA)']",,edward g. lakatta
1984,Thomas,J.,Lawley,['Emory University School of Medicine'],['Dermatology'],['Dermatology'],"['ASCI', 'AAP']",[],[],,thomas j. lawley
1984,Tadataka,,Yamada,[],[],[],"['ASCI', 'AAP']",[],[],,tadataka yamada
1985,Bart,,Barlogie,['Icahn School of Medicine at Mount Sinai'],"['Hematology', 'Oncology', 'Bone marrow transplantation']","['Hematology', 'Bone marrow transplantation']","['ASCI', 'AAP']",['Mount Sinai Affiliates*'],"['Mount Sinai Hospital, Toronto', 'Icahn School of Medicine at Mount Sinai', 'Mount Sinai Beth Israel', 'Samuel Lunenfeld Research Institute of Mount Sinai Hospital']",,bart barlogie
1985,Barry,I.,Eisenstein,['CARB-X'],"['Microbiology', 'Internal Medicine', 'Administration', 'Infectious Disease']","['Microbiology', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,barry i. eisenstein
