From,To,Type,Strenght
Duke University School of Medicine,"Califf, Robert (M.)",Institution-Associate,10
Duke University School of Medicine,"Chi, Jen-Tsan",Institution-Associate,10
Duke University School of Medicine,"Coffman, Thomas (M.)",Institution-Associate,10
Duke University School of Medicine,"Cohen-Wolkowiez, Michael",Institution-Associate,10
Duke University School of Medicine,"Dave, Sandeep (S.)",Institution-Associate,10
Duke University School of Medicine,"Diehl, Anna (Mae)",Institution-Associate,10
Duke University School of Medicine,"Fecci, Peter (E.)",Institution-Associate,10
Duke University School of Medicine,"Felker, Gary (Michael)",Institution-Associate,10
Duke University School of Medicine,"Fowler, Vance (G.)",Institution-Associate,10
Duke University School of Medicine,"Friedman, Henry (S.)",Institution-Associate,10
Duke University School of Medicine,"Gbadegesin, Rasheed",Institution-Associate,10
Duke University School of Medicine,"Grant, Augustus (O.)",Institution-Associate,10
Duke University School of Medicine,"Hall, Russell",Institution-Associate,10
Duke University School of Medicine,"Haynes, Barton (F.)",Institution-Associate,10
Duke University School of Medicine,"Heitman, Joseph",Institution-Associate,10
Duke University School of Medicine,"Herman, Mark (A.)",Institution-Associate,10
Duke University School of Medicine,"Hernandez, Adrian (F.)",Institution-Associate,10
Duke University School of Medicine,"Hershfield, Michael (S.)",Institution-Associate,10
Duke University School of Medicine,"Kastan, Michael (B.)",Institution-Associate,10
Duke University School of Medicine,"Kelley, William (N.)",Institution-Associate,10
Duke University School of Medicine,"Kim, Raymond",Institution-Associate,10
Duke University School of Medicine,"Kirk, Allan (D.)",Institution-Associate,10
Duke University School of Medicine,"Kirsch, David (Guy)",Institution-Associate,10
Duke University School of Medicine,"La Spada, Albert",Institution-Associate,10
Duke University School of Medicine,"Lee, Patty (J.)",Institution-Associate,10
Duke University School of Medicine,"Lefkowitz, Robert (J.)",Institution-Associate,10
Duke University School of Medicine,"Liddle, Rodger (A.)",Institution-Associate,10
Duke University School of Medicine,"Luo, Xunrong",Institution-Associate,10
Duke University School of Medicine,"Mark, Daniel (B.)",Institution-Associate,10
Duke University School of Medicine,"McNamara, James (O.)",Institution-Associate,10
Duke University School of Medicine,"Morse, Michael (A.)",Institution-Associate,10
Duke University School of Medicine,"Palmer, Scott (Michael)",Institution-Associate,10
Duke University School of Medicine,"Patel, Manesh (R.)",Institution-Associate,10
Duke University School of Medicine,"Permar, Sallie (R.)",Institution-Associate,10
Duke University School of Medicine,"Piantadosi, Claude (A.)",Institution-Associate,10
Duke University School of Medicine,"Pisetsky, David (S.)",Institution-Associate,10
Duke University School of Medicine,"Pizzo, Salvatore (V.)",Institution-Associate,10
Duke University School of Medicine,"Rizzieri, David (A.)",Institution-Associate,10
Duke University School of Medicine,"Rockman, Howard (A.)",Institution-Associate,10
Duke University School of Medicine,"Rosati, Robert (A.)",Institution-Associate,10
Duke University School of Medicine,"Rosenberg, Paul (B.)",Institution-Associate,10
Duke University School of Medicine,"Sampson, John (H.)",Institution-Associate,10
Duke University School of Medicine,"Sarantopoulos, Stefanie",Institution-Associate,10
Duke University School of Medicine,"Shah, Svati (H.)",Institution-Associate,10
Duke University School of Medicine,"Sipkins, Dorothy",Institution-Associate,10
Duke University School of Medicine,"Snyderman, Ralph",Institution-Associate,10
Duke University School of Medicine,"Stack, Richard (S.)",Institution-Associate,10
Duke University School of Medicine,"Strittmatter, Warren (James)",Institution-Associate,10
Duke University School of Medicine,"Sunday, Mary (E.)",Institution-Associate,10
Duke University School of Medicine,"Telen, Marilyn (J.)",Institution-Associate,10
Duke University School of Medicine,"Virshup, David (M.)",Institution-Associate,10
Duke University School of Medicine,"Weinberg, J. (Brice)",Institution-Associate,10
Duke University School of Medicine,"Wolf, Myles",Institution-Associate,10
Duke University School of Medicine,"Yan, Hai",Institution-Associate,10
University of Washington School of Medicine,"Abkowitz, Janis",Institution-Associate,10
University of Washington School of Medicine,"Abrass, Christine (K.)",Institution-Associate,10
University of Washington School of Medicine,"Abrass, Itamar (B.)",Institution-Associate,10
University of Washington School of Medicine,"Amory, John (Kenneth)",Institution-Associate,10
University of Washington School of Medicine,"Baeten, Jared (Murray)",Institution-Associate,10
University of Washington School of Medicine,"Blau, C. (Anthony)",Institution-Associate,10
University of Washington School of Medicine,"Bleakley, Marie",Institution-Associate,10
University of Washington School of Medicine,"Bomsztyk, Karol",Institution-Associate,10
University of Washington School of Medicine,"Bremner, William (J.)",Institution-Associate,10
University of Washington School of Medicine,"Broudy, Virginia (C.)",Institution-Associate,10
University of Washington School of Medicine,"Byers, Peter (Howard)",Institution-Associate,10
University of Washington School of Medicine,"Chait, Alan",Institution-Associate,10
University of Washington School of Medicine,"Chance, Phillip (F.)",Institution-Associate,10
University of Washington School of Medicine,"Corey, Lawrence",Institution-Associate,10
University of Washington School of Medicine,"Couser, William (G.)",Institution-Associate,10
University of Washington School of Medicine,"Cummings, David",Institution-Associate,10
University of Washington School of Medicine,"Dale, David (C.)",Institution-Associate,10
University of Washington School of Medicine,"Disis, Mary",Institution-Associate,10
University of Washington School of Medicine,"Elkon, Keith (B)",Institution-Associate,10
University of Washington School of Medicine,"Fang, Ferric (C.)",Institution-Associate,10
University of Washington School of Medicine,"Grady, William (M.)",Institution-Associate,10
University of Washington School of Medicine,"Harlan, John (M.)",Institution-Associate,10
University of Washington School of Medicine,"Hawn, Thomas (R.)",Institution-Associate,10
University of Washington School of Medicine,"Hazzard, William (R.)",Institution-Associate,10
University of Washington School of Medicine,"Heinecke, Jay (W.)",Institution-Associate,10
University of Washington School of Medicine,"Henderson, Jr.",Institution-Associate,10
University of Washington School of Medicine,"Hood, Jr.",Institution-Associate,10
University of Washington School of Medicine,"Horwitz, Marshall (S)",Institution-Associate,10
University of Washington School of Medicine,"Kahn, Steven (E.)",Institution-Associate,10
University of Washington School of Medicine,"Kestenbaum, Bryan (R.)",Institution-Associate,10
University of Washington School of Medicine,"Kiem, Hans-Peter",Institution-Associate,10
University of Washington School of Medicine,"Koelle, David (M.)",Institution-Associate,10
University of Washington School of Medicine,"Lieber, André",Institution-Associate,10
University of Washington School of Medicine,"MacLellan, Robb",Institution-Associate,10
University of Washington School of Medicine,"Miller, Samuel (I.)",Institution-Associate,10
University of Washington School of Medicine,"Morales, Leo (S.)",Institution-Associate,10
University of Washington School of Medicine,"Nghiem, Paul",Institution-Associate,10
University of Washington School of Medicine,"Nichol, Graham",Institution-Associate,10
University of Washington School of Medicine,"Page, Stephanie (T.)",Institution-Associate,10
University of Washington School of Medicine,"Palmer, Jerry (P)",Institution-Associate,10
University of Washington School of Medicine,"Papayannopoulou, Thalia",Institution-Associate,10
University of Washington School of Medicine,"Ramsey, Scott (D.)",Institution-Associate,10
University of Washington School of Medicine,"Robertson, R. (Paul)",Institution-Associate,10
University of Washington School of Medicine,"Rosen, Henry",Institution-Associate,10
University of Washington School of Medicine,"Roth, Gregory (A.)",Institution-Associate,10
University of Washington School of Medicine,"Rubens, Craig",Institution-Associate,10
University of Washington School of Medicine,"Russell, David (W.)",Institution-Associate,10
University of Washington School of Medicine,"Scharenberg, Andrew",Institution-Associate,10
University of Washington School of Medicine,"Schwartz, Michael (W.)",Institution-Associate,10
University of Washington School of Medicine,"Shankland, Stuart (J)",Institution-Associate,10
University of Washington School of Medicine,"Singer, Jack (W)",Institution-Associate,10
University of Washington School of Medicine,"Sotoodehnia, Nona",Institution-Associate,10
University of Washington School of Medicine,"Stamatoyannopoulos, John",Institution-Associate,10
University of Washington School of Medicine,"Thompson, Arthur (R.)",Institution-Associate,10
University of Washington School of Medicine,"Tian, Rong",Institution-Associate,10
University of Washington School of Medicine,"Van Voorhis, Wesley (C.)",Institution-Associate,10
University of Washington School of Medicine,"Yee, Cassian",Institution-Associate,10
University of Washington School of Medicine,"de Boer, Ian (Harm)",Institution-Associate,10
Wayne State University School of Medicine,"Abou-Samra, Abdul (B.)",Institution-Associate,10
Hamad Medical Corporation,"Abou-Samra, Abdul (B.)",Institution-Associate,10
Yale School of Medicine,"Abraham, Clara",Institution-Associate,10
Yale School of Medicine,"Alpern, Robert",Institution-Associate,10
Yale School of Medicine,"Aronson, Peter (S.)",Institution-Associate,10
Yale School of Medicine,"Askenase, Philip (W.)",Institution-Associate,10
Yale School of Medicine,"Bender, Jeffrey (R.)",Institution-Associate,10
Yale School of Medicine,"Binder, Henry (J.)",Institution-Associate,10
Yale School of Medicine,"Bogan, Jonathan (S.)",Institution-Associate,10
Yale School of Medicine,"Bosenberg, Marcus (W.)",Institution-Associate,10
Yale School of Medicine,"Boyer, James (L.)",Institution-Associate,10
Yale School of Medicine,"Broadus, Arthur (E.)",Institution-Associate,10
Yale School of Medicine,"Brown, Nancy (J.)",Institution-Associate,10
Yale School of Medicine,"Bucala, Richard",Institution-Associate,10
Yale School of Medicine,"Cantley, Lloyd (G.)",Institution-Associate,10
Yale School of Medicine,"Cappello, Michael",Institution-Associate,10
Yale School of Medicine,"Chang, Sandy",Institution-Associate,10
Yale School of Medicine,"Choate, Keith (A.)",Institution-Associate,10
Yale School of Medicine,"Chun, Hyung (J.)",Institution-Associate,10
Yale School of Medicine,"Contessa, Joseph",Institution-Associate,10
Yale School of Medicine,"Craft, Joseph (E.)",Institution-Associate,10
Yale School of Medicine,"DeVita, Vincent (T.)",Institution-Associate,10
Yale School of Medicine,"Edelson, Richard (L.)",Institution-Associate,10
Yale School of Medicine,"Eisenbarth, Stephanie",Institution-Associate,10
Yale School of Medicine,"Fikrig, Erol",Institution-Associate,10
Yale School of Medicine,"Forrest, Jr.",Institution-Associate,10
Yale School of Medicine,"Gallagher, Patrick (G.)",Institution-Associate,10
Yale School of Medicine,"Gill, Thomas",Institution-Associate,10
Yale School of Medicine,"Girardi, Michael",Institution-Associate,10
Yale School of Medicine,"Gorelick, Frederick (Sanford)",Institution-Associate,10
Yale School of Medicine,"Greif, Daniel (M.)",Institution-Associate,10
Yale School of Medicine,"Gross, Cary (P.)",Institution-Associate,10
Yale School of Medicine,"Gruber, Peter (J.)",Institution-Associate,10
Yale School of Medicine,"Grutzendler, Jaime",Institution-Associate,10
Yale School of Medicine,"Hafler, David (A.)",Institution-Associate,10
Yale School of Medicine,"Herbert, Peter (N.)",Institution-Associate,10
Yale School of Medicine,"Herzog, Erica (L.)",Institution-Associate,10
Yale School of Medicine,"Insogna, Karl (L.)",Institution-Associate,10
Yale School of Medicine,"Ishibe, Shuta",Institution-Associate,10
Yale School of Medicine,"Kazmierczak, Barbara (I.)",Institution-Associate,10
Yale School of Medicine,"Kibbey, Richard (G.)",Institution-Associate,10
Yale School of Medicine,"Kluger, Harriet",Institution-Associate,10
Yale School of Medicine,"Krumholz, Harlan (M.)",Institution-Associate,10
Yale School of Medicine,"Laruelle, Marc",Institution-Associate,10
Yale School of Medicine,"Miller, I. (George)",Institution-Associate,10
Yale School of Medicine,"Myung, Peggy",Institution-Associate,10
Yale School of Medicine,"Müschen, Markus",Institution-Associate,10
Yale School of Medicine,"Nathanson, Michael (H.)",Institution-Associate,10
Yale School of Medicine,"Pittenger, Christopher",Institution-Associate,10
Yale School of Medicine,"Ross, Joseph (S.)",Institution-Associate,10
Yale School of Medicine,"Sansing, Lauren (H.)",Institution-Associate,10
Yale School of Medicine,"Sherwin, Robert (S.)",Institution-Associate,10
Yale School of Medicine,"Sheth, Kevin (N.)",Institution-Associate,10
Yale School of Medicine,"Shulman, Gerald (I.)",Institution-Associate,10
Yale School of Medicine,"Somlo, Stefan",Institution-Associate,10
Yale School of Medicine,"Tamborlane, William (V.)",Institution-Associate,10
Yale School of Medicine,"Tinetti, Mary (E.)",Institution-Associate,10
Yale School of Medicine,"Velazquez, Eric (Jose)",Institution-Associate,10
Yale School of Medicine,"Vinetz, Joseph (M.)",Institution-Associate,10
Yale School of Medicine,"Wysolmerski, John",Institution-Associate,10
Yale School of Medicine,"Zaret, Barry (L.)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Abrams, Charles (S.)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Albelda, Steven (M)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Amaravadi, Ravi (K.)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Arany, Zoltan (P.)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Arruda, Valder (R.)",Institution-Associate,10
University of Pennsylvania Perelman School of Medicine,"Beatty, Gregory (L.)",Institution-Associate,10
